"","Iplant_Double","Month","Year","Transect_R","Hummingbird","Camera","Day","Bird","Plant","Yobs","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant","jCamera"
"127","Besleria solanoides",12,"2014","1900_2100","Wedge-billed Hummingbird","114",1,6,24,0,"2014-12-02","FH428",NA,0.233,0.071739321497627,"Dec",17,2,114
"128","Besleria solanoides",12,"2014","1900_2100","Booted Racket-tail","114",1,8,24,0,"2014-12-02","FH428",NA,0.331,0.071739321497627,"Dec",2,2,114
"129","Besleria solanoides",12,"2014","1900_2100","Fawn-breasted Brilliant","114",1,12,24,0,"2014-12-02","FH428",NA,0.445,0.071739321497627,"Dec",7,2,114
"130","Besleria solanoides",12,"2014","1900_2100","Violet-tailed Sylph","114",1,14,24,2,"2014-12-02","FH428",1930,0.001,0.071739321497627,"Dec",16,2,114
"131","Besleria solanoides",12,"2014","1900_2100","Tawny-bellied Hermit","114",1,11,24,0,"2014-12-02","FH428",NA,2.44,0.071739321497627,"Dec",15,2,114
"132","Besleria solanoides",12,"2014","1900_2100","Brown Inca","114",1,13,24,0,"2014-12-02","FH428",NA,1.733,0.071739321497627,"Dec",3,2,114
"133","Bomarea multiflora",7,"2013","2300_2500","Collared Inca","280",1,16,27,0,"2013-07-30","FL088",NA,0.397,0,NA,5,3,280
"134","Bomarea multiflora",7,"2013","2300_2500","Tawny-bellied Hermit","280",1,11,27,0,"2013-07-30","FL088",NA,1.219,0,NA,15,3,280
"135","Bomarea multiflora",7,"2013","2300_2500","Gorgeted Sunangel","280",1,19,27,1,"2013-07-30","FL088",2420,1.279,0,NA,8,3,280
"136","Bomarea multiflora",7,"2013","2300_2500","Speckled Hummingbird","280",1,20,27,0,"2013-07-30","FL088",NA,1.34,0,NA,13,3,280
"137","Bomarea multiflora",7,"2014","2300_2500","Speckled Hummingbird","163",1,20,27,1,"2014-07-02","FH620",2460,1.34,0.00878889084197574,"Jul",13,3,163
"138","Bomarea multiflora",8,"2013","2300_2500","Gorgeted Sunangel","280",3,19,27,1,"2013-08-02","FL088",2420,1.279,0.00285638952364212,"Aug",8,3,280
"139","Bomarea multiflora",8,"2013","2300_2500","Tawny-bellied Hermit","280",2,11,27,1,"2013-08-01","FL088",2420,1.219,0.00285638952364212,"Aug",15,3,280
"140","Bomarea multiflora",8,"2013","2300_2500","Speckled Hummingbird","280",3,20,27,0,"2013-08-02","FL088",NA,1.34,0.00285638952364212,"Aug",13,3,280
"141","Bomarea multiflora",8,"2013","2300_2500","Speckled Hummingbird","280",2,20,27,0,"2013-08-01","FL088",NA,1.34,0.00285638952364212,"Aug",13,3,280
"142","Bomarea multiflora",8,"2013","2300_2500","Tawny-bellied Hermit","280",3,11,27,0,"2013-08-02","FL088",NA,1.219,0.00285638952364212,"Aug",15,3,280
"143","Bomarea multiflora",8,"2013","2300_2500","Gorgeted Sunangel","280",2,19,27,1,"2013-08-01","FL088",2420,1.279,0.00285638952364212,"Aug",8,3,280
"144","Bomarea multiflora",8,"2013","2300_2500","Collared Inca","280",3,16,27,1,"2013-08-02","FL088",2420,0.397,0.00285638952364212,"Aug",5,3,280
"145","Bomarea multiflora",8,"2013","2300_2500","Collared Inca","280",2,16,27,0,"2013-08-01","FL088",NA,0.397,0.00285638952364212,"Aug",5,3,280
"146","Bomarea pardina",1,"2015","2100_2300","Violet-tailed Sylph","139",1,14,28,0,"2015-01-13","FH531",NA,3.72,0.0251582000351556,"Jan",16,4,139
"147","Bomarea pardina",1,"2015","2100_2300","Brown Inca","139",1,13,28,1,"2015-01-13","FH531",2156,1.988,0.0251582000351556,"Jan",3,4,139
"148","Bomarea pardina",1,"2015","2100_2300","Buff-tailed Coronet","139",1,17,28,0,"2015-01-13","FH531",NA,3.656,0.0251582000351556,"Jan",4,4,139
"149","Bomarea pardina",1,"2015","2100_2300","Collared Inca","139",1,16,28,2,"2015-01-13","FH531",2156,2.103,0.0251582000351556,"Jan",5,4,139
"150","Bomarea pardina",1,"2015","2100_2300","Green-fronted Lancebill","139",1,15,28,0,"2015-01-13","FH531",NA,2.084,0.0251582000351556,"Jan",10,4,139
"151","Bomarea pardina",2,"2014","2300_2500","Brown Inca","206",1,13,28,1,"2014-02-12","FH808",2320,1.988,0.00274652838811742,"Feb",3,4,206
"152","Bomarea pardina",2,"2014","2300_2500","Hoary Puffleg","206",1,18,28,0,"2014-02-12","FH808",NA,3.594,0.00274652838811742,"Feb",11,4,206
"153","Bomarea pardina",2,"2014","2300_2500","Collared Inca","206",1,16,28,0,"2014-02-12","FH808",NA,2.103,0.00274652838811742,"Feb",5,4,206
"154","Bomarea pardina",2,"2014","2300_2500","Gorgeted Sunangel","206",1,19,28,0,"2014-02-12","FH808",NA,3.779,0.00274652838811742,"Feb",8,4,206
"155","Bomarea pardina",2,"2014","2300_2500","Buff-tailed Coronet","206",1,17,28,0,"2014-02-12","FH808",NA,3.656,0.00274652838811742,"Feb",4,4,206
"156","Bomarea pardina",2,"2015","1900_2100","Tawny-bellied Hermit","197",1,11,28,0,"2015-02-11","FH731",NA,1.28,0,NA,15,4,197
"157","Bomarea pardina",2,"2015","1900_2100","Brown Inca","197",1,13,28,2,"2015-02-11","FH731",1960,1.988,0,NA,3,4,197
"158","Bomarea pardina",2,"2015","1900_2100","Fawn-breasted Brilliant","197",1,12,28,6,"2015-02-11","FH731",1960,3.276,0,NA,7,4,197
"159","Bomarea pardina",2,"2015","1900_2100","Green-crowned Brilliant","197",1,10,28,0,"2015-02-11","FH731",NA,3.167,0,NA,9,4,197
